word,count,class
data,1403,Hard Skill
research,735,Hard Skill
team,825,Soft Skill
development,353,Hard Skill
learning,329,Hard Skill
management,438,Soft Skill
analysis,836,Hard Skill
strong,305,Soft Skill
clients,259,Experience
product,247,Experience
machine,246,Hard Skill
technical,246,Hard Skill
science,629,Hard Skill
design,224,Experience
information,222,Hard Skill
quality,217,Hard Skill
client,201,Soft Skill
project,400,Experience
communication,184,Soft Skill
marketing,184,Experience
software,177,Hard Skill
engineering,176,Hard Skill
technology,147,Hard Skill
statistical,228,Hard Skill
customer,138,Soft Skill
problems,138,Soft Skill
systems,137,Hard Skill
insights,136,Hard Skill
sales,136,Experience
models,135,Hard Skill
laboratory,130,Experience
understanding,127,Soft Skill
program,126,Hard Skill
identify,123,Experience
python,120,Tool
lead,281,Soft Skill
reports,196,Hard Skill
social,99,Soft Skill
programming,92,Hard Skill
modeling,87,Hard Skill
consulting,85,Soft Skill
planning,85,Soft Skill
growth,81,Soft Skill
solving,79,Hard Skill
sql,79,Tool
collaborate,78,Soft Skill
competitive,78,Soft Skill
demonstrated,78,Soft Skill
excel,75,Tool
visualization,75,Hard Skill
r,72,Tool
communicate,70,Soft Skill
culture,69,Soft Skill
detail,69,Soft Skill
organizational,68,Soft Skill
innovative,67,Soft Skill
intelligence,67,Soft Skill
collaborative,63,Soft Skill
functional,63,Experience
production,61,Experience
strategic,61,Soft Skill
algorithms,57,Hard Skill
c,57,Tool
database,45,Tool
zestfinance,41,Tool
agile,29,Tool
mining,27,Hard Skill
hadoop,26,Tool
regression,23,Hard Skill
entrepreneurial,22,Soft Skill
java,22,Tool
scala,20,Tool
scripting,20,Hard Skill
tracking,20,Hard Skill